,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
23438,15.78,51.17,47.38,50.88,13.48,12.81,13.17,1.43091,14.44,7.36,1795.41
23440,16.6,50.17,46.94,50.08,12.33,12.17,12.31,1.43143,15.08,8.19,1796.23
23441,16.82,50.01,46.73,50.02,12.2,12.08,12.18,1.4307,15.2,8.25,1794.94
23442,17.1,50.11,47.01,50.3,13,12.79,13.04,1.4272,14.96,7.08,1794.65
23443,17.46,50.34,47.51,50.91,13.13,13.45,13.55,1.40216,13.96,4.62,1794.62
23444,17.64,50.64,48.01,51.65,12.88,13.54,13.42,1.42886,14.57,6.26,1795.45
23445,17.92,50.21,47.91,51.42,12.51,12.99,13.01,1.42959,15.16,7.51,1794.83
23471,15.71,49.78,47.73,52.43,14.08,14.11,14.72,1.34943,13.01,1.89,1794.94
23475,15.95,50.94,50.12,54.17,13.75,14.26,14.56,1.35232,13.03,2.64,1793.78
23476,16.06,50.99,50.79,55.37,13.83,14.56,14.75,1.41849,14.41,4.64,1794.29
23477,16.1,50.84,50.23,54.23,12.64,13.16,13.37,1.42931,15.61,7.14,1794.93
23478,16.14,50.81,50.5,54.32,13.11,13.85,13.82,1.35258,13.56,3.28,1792.63
23479,16.07,51.1,50.98,55.46,13.8,14.44,14.72,1.34058,13.26,2.5,1794.24
23493,15.32,51.71,52.71,55.91,14.03,14.88,14.76,1.34577,13.32,1.87,1794.39
23496,15.1,52.53,52.64,56.12,13.59,13.82,13.87,1.30068,13.12,2.41,1794.12
23498,15,52.88,53.07,56.31,13.79,14.65,14.59,1.4196,14.44,4.25,1794.83
23502,14.67,53,53.88,56.65,13.45,14.76,14.22,1.40123,14.01,4.39,1794.59
23599,11.44,19.55,17.93,22.49,12.73,13.28,15.37,1.42525,15.41,7.91,1797.53
23601,11.98,25.12,24.3,29.81,12.35,13.91,14.7,1.40121,14.2,5.89,1796.13
23603,12.48,30.37,30.28,35.95,13.69,14.64,15.66,1.41101,14.39,4.43,1796.94
23604,12.73,31.83,32.73,37.72,12.41,14.15,14.59,1.41889,15.45,7.38,1796.49
23605,12.91,33.53,33.99,39.45,12.49,13.6,14.26,1.35858,14.65,5.73,1796.82
23607,13.34,36.33,37.54,42.46,12.7,14.87,14.66,1.40699,15.14,6.24,1795.67
23608,13.39,37.15,39.68,43.88,12.66,14.2,14.35,1.42232,15.81,7.29,1796
23609,13.64,37.65,39.71,43.99,12.1,13.47,13.52,1.42719,15.17,7.81,1796.09
23610,13.66,39.13,40.85,45.38,12.85,14.45,14.34,1.41404,15.33,6.52,1795.44
